Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
14,639218754702141,639218754711724,19142,25911,111,311,639218752193141.0
32,639218754716088,639218754725255,16133,25984,122,314,639218752193141.0
45,639218754729005,639218754738255,17894,27072,90,286,639218752193141.0
12,639218754741687,639218754750854,16814,27530,146,339,639218752193141.0
35,639218754755088,639218754764172,17521,28449,83,276,639218752193141.0
45,639218754768005,639218754777172,17694,26294,76,269,639218752193141.0
19,639218754781672,639218754790422,17922,28197,157,342,639218752193141.0
43,639218754794255,639218754803255,18879,27281,87,276,639218752193141.0
5,639218754806687,639218754815771,16028,27774,104,297,639218752193141.0
21,639218754819838,639218754829422,18365,26947,125,328,639218752193141.0
35,639218754832838,639218754842255,20035,26685,73,272,639218752193141.0
8,639218754845604,639218754855104,16113,27113,118,318,639218752193141.0
26,639218754858755,639218754868255,18005,27079,73,272,639218752193141.0
49,639218754871922,639218754881338,16918,26826,76,276,639218752193141.0
17,639218754884224,639218754893391,18369,26088,108,300,639218752193141.0
38,639218754898172,639218754907172,18677,26143,69,258,639218752193141.0
1,639218754910687,639218754919937,19859,25857,136,332,639218752193141.0
14,639218754923391,639218754932891,17445,27060,111,311,639218752193141.0
39,639218754936922,639218754946172,17285,27051,83,279,639218752193141.0
4,639218754949687,639218754959104,18461,26995,111,311,639218752193141.0
29,639218754963005,639218754972255,16491,28609,83,279,639218752193141.0
50,639218754976172,639218754985172,17115,26795,118,307,639218752193141.0
20,639218754989088,639218754998338,17846,27222,230,426,639218752193141.0
38,639218755002005,639218755011255,17468,27047,83,279,639218752193141.0
1,639218755014771,639218755023937,17242,26717,136,328,639218752193141.0
12,639218755027771,639218755037104,19919,25662,111,307,639218752193141.0
28,639218755041005,639218755050255,19201,25072,83,276,639218752193141.0
2,639218755053687,639218755063104,19924,25884,97,297,639218752193141.0
27,639218755066838,639218755076255,18203,27048,83,279,639218752193141.0
48,639218755080005,639218755089172,16252,26359,97,290,639218752193141.0
13,639218755092771,639218755102104,19131,26290,167,363,639218752193141.0
36,639218755105838,639218755115172,15799,26646,66,262,639218752193141.0
3,639218755118771,639218755127771,16655,25742,83,272,639218752193141.0
21,639218755131838,639218755141422,17682,27068,101,300,639218752193141.0
43,639218755145005,639218755154338,16803,28072,87,283,639218752193141.0
8,639218755157604,639218755167104,17588,27272,94,293,639218752193141.0
28,639218755170838,639218755180172,15980,27367,87,283,639218752193141.0
46,639218755184005,639218755193255,17742,28036,97,293,639218752193141.0
14,639218755196057,639218755205391,16382,28414,111,307,639218752193141.0
26,639218755210005,639218755219422,18458,26239,104,304,639218752193141.0
47,639218755223005,639218755232172,17055,27926,69,262,639218752193141.0
8,639218755235687,639218755245104,18295,29119,157,356,639218752193141.0
32,639218755248672,639218755258338,17956,27640,76,279,639218752193141.0
2,639218755261771,639218755270854,19978,27625,108,300,639218752193141.0
21,639218755274755,639218755284338,19066,25669,104,307,639218752193141.0
43,639218755287922,639218755297172,16557,28610,83,276,639218752193141.0
15,639218755300557,639218755309391,17795,28567,237,423,639218752193141.0
33,639218755314005,639218755323338,18592,25174,90,286,639218752193141.0
50,639218755327088,639218755336338,17550,27307,111,304,639218752193141.0
18,639218755339474,639218755348641,19549,25586,199,391,639218752193141.0
35,639218755353005,639218755362338,19996,25769,87,283,639218752193141.0
50,639218755366005,639218755375172,18218,24803,129,321,639218752193141.0
18,639218755378391,639218755387474,17363,26851,178,370,639218752193141.0
43,639218755392005,639218755401005,17970,26314,111,300,639218752193141.0
7,639218755404604,639218755413771,16226,28471,108,300,639218752193141.0
30,639218755417922,639218755427422,17722,27305,80,279,639218752193141.0
43,639218755431005,639218755440338,17954,27014,83,279,639218752193141.0
15,639218755443641,639218755452557,19323,27008,241,426,639218752193141.0
29,639218755456922,639218755466422,17616,27863,80,279,639218752193141.0
43,639218755470005,639218755479338,18076,27814,87,283,639218752193141.0
14,639218755482391,639218755491391,16129,25465,118,307,639218752193141.0
25,639218755495755,639218755505422,15612,27350,101,304,639218752193141.0
37,639218755508922,639218755518172,19124,25392,73,265,639218752193141.0
8,639218755521687,639218755531104,18747,26026,129,325,639218752193141.0
16,639218755535057,639218755541641,526,1254,118,258,639218752193141.0
18,639218755534391,639218755543641,17348,27834,122,314,639218752193141.0
50,639453126170088,639453126179005,16689,26769,108,293,639453126170088.0
37,639453126183005,639453126192338,18746,24277,80,276,639453126170088.0
4,639453126195687,639453126205104,17206,25799,104,300,639453126170088.0
14,639453126208391,639453126217391,16343,27756,178,367,639453126170088.0
48,639453126222005,639453126231005,15522,25190,87,276,639453126170088.0
20,639453126234922,639453126244338,16081,26913,125,321,639453126170088.0
36,639453126248005,639453126257172,17555,26839,90,283,639453126170088.0
12,639453126260604,639453126269771,18768,27826,115,307,639453126170088.0
48,639453126274005,639453126283005,17613,26979,90,279,639453126170088.0
20,639453126287005,639453126296255,16304,25889,118,311,639453126170088.0
36,639453126299838,639453126309005,18024,26464,80,272,639453126170088.0
12,639453126312604,639453126322104,18152,27714,101,300,639453126170088.0
50,639453126326005,639453126335005,17072,26322,111,300,639453126170088.0
37,639453126339172,639453126347838,18278,26486,101,283,639453126170088.0
4,639453126351854,639453126360854,20280,25893,118,307,639453126170088.0
14,639453126364474,639453126373474,16092,26939,167,356,639453126170088.0
4,639453126377521,639453126386771,19045,26721,108,300,639453126170088.0
14,639453126390641,639453126399391,18830,25124,300,486,639453126170088.0
48,639453126404005,639453126413172,16922,25884,73,265,639453126170088.0
20,639453126417005,639453126426338,19045,25467,125,321,639453126170088.0
36,639453126430172,639453126439172,17162,25891,104,293,639453126170088.0
12,639453126442854,639453126452104,18743,26402,122,314,639453126170088.0
50,639453126456172,639453126465005,15766,25271,97,283,639453126170088.0
37,639453126469588,639453126478005,16410,24872,104,283,639453126170088.0
36,639453126482255,639453126491005,16983,26051,188,374,639453126170088.0
12,639453126494687,639453126504104,18435,27486,111,311,639453126170088.0
50,639453126508005,639453126517005,16534,25681,87,276,639453126170088.0
37,639453126521005,639453126530172,18219,25040,76,269,639453126170088.0
2,639453126534521,639453126541354,503,1220,97,241,639453126170088.0
4,639453126533687,639453126543021,18626,25957,115,311,639453126170088.0
14,639453126546391,639453126555474,18003,27278,188,377,639453126170088.0
48,639453126560005,639453126569005,15143,26976,83,272,639453126170088.0
20,639453126572922,639453126582255,19012,25436,118,314,639453126170088.0
41,639453126586172,639453126595172,19009,26937,108,297,639453126170088.0
0,639453126599104,639453126607771,18515,28525,122,304,639453126170088.0
22,639453126611922,639453126621338,16823,26439,122,318,639453126170088.0
33,639453126625588,639453126634255,17442,25297,87,269,639453126170088.0
44,639453126638005,639453126647172,19637,25682,73,265,639453126170088.0
8,639453126650687,639453126660104,18884,26345,118,318,639453126170088.0
22,639453126663755,639453126673338,19851,25380,76,276,639453126170088.0
40,639453126677255,639453126686338,18250,25656,115,307,639453126170088.0
13,639453126689521,639453126698687,17364,27588,104,297,639453126170088.0
34,639453126703755,639453126711672,599,1296,80,244,639453126170088.0
32,639453126702755,639453126712255,16369,28038,87,286,639453126170088.0
5,639453126715604,639453126725104,15555,27898,104,304,639453126170088.0
29,639453126729005,639453126738255,17252,27307,94,286,639453126170088.0
50,639453126742172,639453126751088,19514,25369,115,304,639453126170088.0
10,639453126754771,639453126763854,17219,26098,122,314,639453126170088.0
32,639453126767922,639453126777172,19674,25918,94,290,639453126170088.0
0,639453126780771,639453126789937,18882,26120,132,325,639453126170088.0
12,639453126793604,639453126802771,18637,27761,118,311,639453126170088.0
33,639453126807005,639453126816338,19113,24690,87,283,639453126170088.0
48,639453126821005,639453126828255,561,1335,101,251,639453126170088.0
50,639453126820005,639453126829005,16814,27055,108,297,639453126170088.0
10,639453126832604,639453126841771,17565,28547,104,297,639453126170088.0
21,639453126845838,639453126855255,17571,26516,101,300,639453126170088.0
43,639453126859588,639453126868255,16390,27992,87,269,639453126170088.0
16,639453126871224,639453126880391,19164,27476,115,307,639453126170088.0
34,639453126885255,639453126894005,16426,26800,111,293,639453126170088.0
1,639453126898104,639453126907021,17579,26731,115,300,639453126170088.0
25,639453126910838,639453126920338,18743,24999,90,290,639453126170088.0
43,639453126924588,639453126933338,18825,25554,101,283,639453126170088.0
15,639453126936557,639453126945391,18155,27412,244,430,639453126170088.0
37,639453126950005,639453126959172,15565,27272,101,293,639453126170088.0
5,639453126962521,639453126971854,18405,27167,97,293,639453126170088.0
16,639453126975307,639453126984807,16434,27105,108,307,639453126170088.0
31,639453126988755,639453126998255,17761,27162,69,269,639453126170088.0
1,639453127001687,639453127010771,16604,28616,97,290,639453126170088.0
13,639453127014687,639453127023771,18214,26519,108,300,639453126170088.0
29,639453127027922,639453127037422,17914,27752,94,293,639453126170088.0
1,639453127041437,639453127049937,17731,27939,118,297,639453126170088.0
17,639453127053224,639453127062807,19218,27716,90,290,639453126170088.0
32,639453127067088,639453127076338,18829,27999,97,293,639453126170088.0
46,639453127080005,639453127089172,17346,27414,87,279,639453126170088.0
17,639453127092224,639453127101724,18071,28499,108,307,639453126170088.0
33,639453127106588,639453127115255,18125,26259,104,286,639453126170088.0
1,639453127118771,639453127128104,17164,27916,125,321,639453126170088.0
25,639453127131838,639453127141172,16723,27353,111,307,639453126170088.0
38,639453127145005,639453127154338,16258,27931,80,276,639453126170088.0
6,639453127157687,639453127166854,16579,26456,125,318,639453126170088.0
26,639453127171005,639453127180255,19941,25908,115,311,639453126170088.0
41,639453127184172,639453127193172,19595,26168,118,307,639453126170088.0
8,639453127196521,639453127205854,18921,27584,80,276,639453126170088.0
32,639453127210172,639453127219255,17064,25833,101,290,639453126170088.0
46,639453127223922,639453127230588,500,1207,104,244,639453126170088.0
44,639453127223005,639453127232255,19814,24942,87,283,639453126170088.0
11,639453127235437,639453127245187,17259,27736,129,335,639453126170088.0
35,639453127249005,639453127258255,18670,28083,94,290,639453126170088.0
48,639453127262172,639453127271172,16909,27031,94,283,639453126170088.0
15,639453127274391,639453127283391,16425,28700,255,444,639453126170088.0
34,639453127288005,639453127297172,17748,27340,118,311,639453126170088.0
1,639453127301437,639453127309771,16292,25572,136,311,639453126170088.0
14,639453127313141,639453127322391,17310,27802,108,304,639453126170088.0
31,639453127326922,639453127336255,19193,24158,97,293,639453126170088.0
5,639453127339604,639453127349104,17730,25823,125,325,639453126170088.0
29,639453127353005,639453127362338,20487,25336,125,321,639453126170088.0
50,639453127366088,639453127375005,18781,25198,132,318,639453126170088.0
9,639453127378521,639453127388104,16821,27345,97,297,639453126170088.0
34,639453127392005,639453127401172,17204,27399,90,283,639453126170088.0
50,639453127405005,639453127414005,18251,25295,97,286,639453126170088.0
11,639453127417687,639453127426771,17630,27052,118,307,639453126170088.0
23,639453127430922,639453127440422,17017,26886,97,297,639453126170088.0
