Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
33,639218752791755,639218752801005,4813,22555,87,279,0.0
34,639218752792588,639218752801338,17102,28638,97,279,639218752193141.0
35,639218752792922,639218752801672,553,14153,122,307,0.0
47,639218752804755,639218752813838,409,17615,97,290,0.0
48,639218752805255,639218752814172,19649,26038,108,297,639218752193141.0
49,639218752805255,639218752814672,643,16744,90,286,0.0
12,639218752817687,639218752826771,18158,27021,181,370,639218752193141.0
11,639218752817437,639218752826937,3175,23263,181,381,0.0
13,639218752818104,639218752827521,1189,14047,174,370,0.0
21,639218752830672,639218752840338,928,20124,94,297,0.0
22,639218752830838,639218752840338,18824,24775,104,304,639218752193141.0
23,639218752830922,639218752840755,3140,23574,76,283,0.0
38,639218752845172,639218752852422,231,1122,108,258,0.0
35,639218752843672,639218752853088,1400,20272,87,286,0.0
36,639218752844005,639218752853172,16663,27394,80,272,639218752193141.0
37,639218752844088,639218752853672,3807,16346,83,286,0.0
0,639218752856354,639218752863187,1383,16216,146,290,0.0
1,639218752856771,639218752865771,18287,26585,143,332,639218752193141.0
2,639218752856854,639218752866521,724,23766,101,304,0.0
9,639218752870187,639218752878104,283,1217,90,255,0.0
11,639218752869521,639218752878771,18587,25272,111,304,639218752193141.0
10,639218752869354,639218752879021,578,15228,94,297,0.0
12,639218752869687,639218752879604,3910,20558,80,286,0.0
32,639218752882588,639218752891672,3497,16015,83,276,0.0
33,639218752883005,639218752892255,16788,25826,87,279,639218752193141.0
34,639218752883088,639218752892672,2293,11563,90,293,0.0
6,639218752895271,639218752904854,1285,16037,87,290,0.0
7,639218752895604,639218752905104,16021,26910,101,300,639218752193141.0
8,639218752895604,639218752905604,1432,19846,87,297,0.0
17,639218752907974,639218752916891,3285,14667,108,297,0.0
18,639218752908224,639218752917391,18442,25986,129,321,639218752193141.0
40,639218752921588,639218752931088,1306,23383,83,283,0.0
41,639218752922005,639218752931338,17236,27936,76,272,639218752193141.0
42,639218752922172,639218752931755,942,18649,76,279,0.0
4,639218752934687,639218752943771,16819,28059,111,304,639218752193141.0
3,639218752934187,639218752944021,931,14992,73,279,0.0
5,639218752934937,639218752944437,1288,12755,111,311,0.0
27,639218752948422,639218752954755,1149,15636,90,223,0.0
28,639218752949422,639218752956672,220,1214,94,248,0.0
25,639218752947672,639218752957088,3801,18489,104,300,0.0
26,639218752947922,639218752957422,17705,28257,90,290,639218752193141.0
2,639218752961521,639218752968437,251,1048,118,262,0.0
0,639218752960521,639218752969937,17420,27740,104,300,639218752193141.0
1,639218752961271,639218752970437,2072,19011,118,311,0.0
14,639218752972974,639218752982224,374,23745,108,300,0.0
15,639218752973557,639218752982641,20294,26760,248,440,639218752193141.0
16,639218752973391,639218752983307,272,16795,104,311,0.0
25,639218752986422,639218752996172,1001,16999,73,279,0.0
26,639218752987005,639218752996422,19723,26295,101,300,639218752193141.0
27,639218752987588,639218752996755,607,21719,111,304,0.0
46,639218753000005,639218753009005,18074,27379,101,290,639218752193141.0
45,639218752999755,639218753009255,1964,18069,94,293,0.0
47,639218753002255,639218753009588,2322,24067,118,272,0.0
15,639218753012141,639218753021641,338,24274,255,454,0.0
16,639218753012057,639218753021724,18797,27396,80,283,639218752193141.0
17,639218753012641,639218753022307,2895,19009,104,307,0.0
33,639218753025672,639218753035088,4920,20544,69,269,0.0
34,639218753026588,639218753035338,16261,29105,94,279,639218752193141.0
35,639218753026922,639218753035755,1313,14580,115,300,0.0
6,639218753038271,639218753047104,671,18988,101,286,0.0
7,639218753038521,639218753047854,18596,27206,108,304,639218752193141.0
8,639218753039104,639218753048521,4018,18332,118,314,0.0
26,639218753052922,639218753060422,289,1359,97,255,0.0
30,639218753053338,639218753060672,236,1264,97,251,0.0
27,639218753051588,639218753061255,1185,17816,80,283,0.0
28,639218753051922,639218753061338,16664,26409,90,290,639218752193141.0
29,639218753052422,639218753061672,4945,19139,97,293,0.0
49,639218753066755,639218753073422,227,1253,122,262,0.0
46,639218753064755,639218753074088,1188,20212,94,290,0.0
47,639218753065588,639218753074172,15250,28355,108,290,639218752193141.0
48,639218753065922,639218753074672,3859,18031,101,283,0.0
15,639218753077224,639218753086641,1708,23390,220,419,0.0
16,639218753076974,639218753086724,18834,25513,83,290,639218752193141.0
17,639218753078141,639218753087307,1467,23873,111,304,0.0
36,639218753092338,639218753099505,302,1292,108,258,0.0
38,639218753091088,639218753100005,18189,25760,97,283,639218752193141.0
37,639218753090838,639218753100255,2209,14926,101,297,0.0
39,639218753091172,639218753100588,3855,21286,97,297,0.0
3,639218753103437,639218753112437,2912,18558,132,321,0.0
4,639218753103687,639218753112854,18027,27706,132,325,639218752193141.0
5,639218753103771,639218753113521,1246,19886,104,311,0.0
16,639218753116057,639218753125141,2768,22134,111,304,0.0
17,639218753116557,639218753125391,17835,27044,195,381,639218752193141.0
18,639218753117557,639218753126224,3000,17279,223,405,0.0
26,639218753131005,639218753137255,525,1400,104,234,0.0
27,639218753129588,639218753139088,414,12579,94,293,0.0
28,639218753129838,639218753139422,17942,26357,87,290,639218752193141.0
29,639218753130088,639218753139755,2983,17907,94,297,0.0
46,639218753143005,639218753152005,18239,27853,90,279,639218752193141.0
45,639218753142672,639218753152255,4893,17949,97,300,0.0
47,639218753143172,639218753152588,1315,19859,94,290,0.0
10,639218753156521,639218753163771,240,981,111,265,0.0
11,639218753155187,639218753164271,1299,16291,87,279,0.0
12,639218753155687,639218753164854,17876,27303,115,307,639218752193141.0
13,639218753155854,639218753165521,616,19849,136,339,0.0
30,639218753169505,639218753176088,227,1128,80,220,0.0
31,639218753168672,639218753177588,1786,15553,83,269,0.0
32,639218753169005,639218753178255,18423,25759,104,300,639218752193141.0
33,639218753169088,639218753178838,468,19841,73,276,0.0
2,639218753183937,639218753190271,396,1382,164,297,0.0
0,639218753181687,639218753190771,20103,25465,118,307,639218752193141.0
1,639218753182021,639218753191437,393,19080,118,318,0.0
14,639218753195224,639218753202641,279,1022,136,290,0.0
15,639218753194141,639218753203724,1620,18447,192,395,0.0
16,639218753194141,639218753203807,17715,27226,101,304,639218752193141.0
